obs_time,point_id,rain_10min,rain_60min,rain_integ_resetspc
2014-04-30 00:00:00+09,2033,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2034,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2035,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2036,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2037,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2038,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2039,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2040,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2041,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2042,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2043,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2044,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2045,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2046,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2047,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2048,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2049,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2050,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2051,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2052,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2053,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2054,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2055,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2056,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2057,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2062,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2063,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2064,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2066,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2067,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2068,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2070,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2071,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2072,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2073,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2075,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2078,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2079,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2080,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2081,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2082,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2083,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2084,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2085,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2087,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2088,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2089,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2092,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2094,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2096,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2099,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2100,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2101,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2102,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2103,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2104,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2105,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2106,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2107,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2108,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2109,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2110,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2111,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2112,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2113,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2114,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2115,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2116,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2117,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2118,0,-1111111111,-1111111111
